InvoiceDate,StockCode,Quantity,UnitPrice,Week,Weekday,Day,TotalPrice
2023-10-05,44425,,,41,3,5,
2023-10-05,47368,,,41,3,5,
2023-10-05,48845,,,41,3,5,
2023-10-05,48868,,,41,3,5,
2023-10-05,53511,5,163.5,41,3,5,32.7
2023-10-05,61126,8,496.8,41,3,5,62.1
2023-10-05,61161,,,41,3,5,
2023-10-05,61255,1,68.1,41,3,5,68.1
2023-10-05,61278,1,71.4,41,3,5,71.4
2023-10-05,67245,,,41,3,5,
2023-10-05,67948,3,154.94,41,3,5,51.6466666666666
2023-10-05,69088,,,41,3,5,
2023-10-05,97134,,,41,3,5,
2023-10-05,2173,,,41,3,5,
2023-10-05,2593,,,41,3,5,
2023-10-05,25591,2,119,41,3,5,59.5
2023-10-05,25607,,,41,3,5,
2023-10-05,25619,,,41,3,5,
2023-10-05,25687,,,41,3,5,
2023-10-05,25764,1,56.9,41,3,5,56.9
2023-10-05,25877,,,41,3,5,
2023-10-05,25912,,,41,3,5,
2023-10-05,25923,1,34.12,41,3,5,34.12
2023-10-05,25924,8,407.2,41,3,5,50.9
2023-10-05,25930,8,499.76,41,3,5,62.47
2023-10-05,25933,,,41,3,5,
2023-10-05,27286,,,41,3,5,
2023-10-05,29813,,,41,3,5,
2023-10-05,31320,2,52.6,41,3,5,26.3
2023-10-05,31321,,,41,3,5,
2023-10-05,32354,,,41,3,5,
2023-10-05,37383,,,41,3,5,
2023-10-05,44422,1,32.7,41,3,5,32.7
2023-10-05,47372,,,41,3,5,
2023-10-05,48860,,,41,3,5,
2023-10-05,48861,,,41,3,5,
2023-10-05,50588,,,41,3,5,
2023-10-05,52615,2,69,41,3,5,34.5
2023-10-05,52959,,,41,3,5,
2023-10-05,52960,,,41,3,5,
2023-10-05,61157,,,41,3,5,
2023-10-05,61162,,,41,3,5,
2023-10-05,61243,5,148,41,3,5,29.6
2023-10-05,61250,4,104.8,41,3,5,26.2
2023-10-05,66473,1,43.6,41,3,5,43.6
2023-10-05,69089,,,41,3,5,
2023-10-05,70117,,,41,3,5,
2023-10-05,97786,,,41,3,5,
2023-10-05,98466,5,93,41,3,5,18.6
2023-10-05,98529,,,41,3,5,
2023-10-05,107752,2,59,41,3,5,29.5
2023-10-05,107753,,,41,3,5,
2023-10-05,2171,,,41,3,5,
2023-10-05,2266,1,64.8,41,3,5,64.8
2023-10-05,3378,3,85.2,41,3,5,28.4
2023-10-05,25589,1,59.5,41,3,5,59.5
2023-10-05,25617,,,41,3,5,
2023-10-05,25725,1,24.8,41,3,5,24.8
2023-10-05,25767,4,212.8,41,3,5,53.2
2023-10-05,25801,1,24.1,41,3,5,24.1
2023-10-05,25902,1,49.8,41,3,5,49.8
2023-10-05,25910,6,282,41,3,5,47
2023-10-05,25911,1,47,41,3,5,47
2023-10-05,25928,1,25.78,41,3,5,25.78
2023-10-05,33222,5,281.5,41,3,5,56.3
2023-10-05,34674,,,41,3,5,
2023-10-05,44424,1,49,41,3,5,49
2023-10-05,47369,,,41,3,5,
2023-10-05,48862,,,41,3,5,
2023-10-05,53487,6,330.6,41,3,5,55.1
2023-10-05,53605,,,41,3,5,
2023-10-05,61277,,,41,3,5,
2023-10-05,61615,1,31.9,41,3,5,31.9
2023-10-05,66305,1,52.6,41,3,5,52.6
2023-10-05,68132,3,76.5,41,3,5,25.5
2023-10-05,95548,,,41,3,5,
2023-10-05,97135,,,41,3,5,
2023-10-05,97795,4,144,41,3,5,36
2023-10-05,98318,5,180,41,3,5,36
2023-10-05,2501,,,41,3,5,
2023-10-05,25605,,,41,3,5,
2023-10-05,25741,6,273.8,41,3,5,45.6333333333333
2023-10-05,25851,1,27,41,3,5,27
2023-10-05,25882,,,41,3,5,
2023-10-05,25901,1,29.3,41,3,5,29.3
2023-10-05,25913,,,41,3,5,
2023-10-05,25915,,,41,3,5,
2023-10-05,25922,,,41,3,5,
2023-10-05,25931,,,41,3,5,
2023-10-05,25936,,,41,3,5,
2023-10-05,29099,4,84,41,3,5,21
2023-10-05,31299,,,41,3,5,
2023-10-05,33221,,,41,3,5,
2023-10-05,37270,3,78.6,41,3,5,26.2
2023-10-05,37376,,,41,3,5,
2023-10-05,44423,,,41,3,5,
2023-10-05,52425,2,51.65,41,3,5,25.825
